Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature Difference,Machine Failure(2),Machine Failure
1364,65.3,208,True,True,False,True,True,False,True,False,False,9.5,1,1
1410,65.7,191,True,False,False,True,True,False,False,True,False,10.100000000000025,1,1
1243,74.5,194,True,False,False,True,True,False,False,False,True,11.300000000000011,1,1
1268,69.4,189,True,False,False,True,True,False,False,True,False,10.699999999999989,1,1
1405,46.4,207,True,True,False,False,False,True,False,True,False,9.199999999999989,1,1
1338,67.6,194,True,False,False,True,True,False,False,True,False,8.600000000000023,1,1
1333,66.7,205,True,False,False,True,True,False,False,True,False,9.099999999999966,1,1
1284,68.0,114,True,False,True,True,False,False,False,True,False,8.399999999999977,1,1
1284,68.2,111,True,False,True,True,False,False,False,False,True,8.100000000000023,1,1
1308,57.6,197,True,False,True,False,True,False,False,True,False,7.899999999999977,1,1
1298,65.5,229,True,False,True,False,True,False,False,True,False,7.800000000000011,1,1
1365,66.8,80,True,False,True,True,False,False,False,True,False,7.799999999999954,1,1
1263,67.8,197,True,False,True,False,True,False,False,True,False,7.800000000000011,1,1
1238,54.6,226,True,False,True,False,True,False,False,True,False,8.199999999999989,1,1
1324,54.2,228,True,False,True,False,True,False,False,True,False,8.199999999999989,1,1
1306,61.0,215,True,False,True,False,True,False,False,True,False,8.400000000000034,1,1
1262,70.5,234,True,False,False,True,True,False,False,False,True,9.5,1,1
1454,54.8,253,True,True,False,False,True,False,False,False,True,9.699999999999989,1,1
1405,61.2,189,True,False,False,True,True,False,False,True,False,9.300000000000011,1,1
1416,61.8,209,True,False,False,True,True,False,False,True,False,9.699999999999989,1,1
1325,62.4,204,True,True,False,False,True,False,False,False,True,11.400000000000034,1,1
1459,59.6,207,True,False,False,True,True,False,False,False,True,11.0,1,1
1326,75.4,172,True,False,False,True,True,False,False,True,False,10.699999999999989,1,1
1361,68.2,172,True,False,False,True,True,False,False,True,False,9.599999999999966,1,1
1399,46.4,132,False,False,False,False,False,True,False,False,True,11.300000000000011,1,1
1505,45.7,144,False,False,False,False,False,True,False,True,False,11.199999999999989,1,1
1626,31.1,166,False,False,False,False,False,True,True,False,False,9.300000000000011,1,1
1570,35.5,189,False,False,False,False,False,True,False,True,False,9.899999999999975,1,1
1447,50.4,140,False,False,False,False,False,True,False,True,False,9.699999999999989,1,1
1687,27.7,95,False,False,False,False,False,True,False,False,True,9.099999999999966,1,1
1602,32.3,2,False,False,False,False,False,True,True,False,False,8.899999999999977,1,1
1346,61.2,170,False,False,False,False,False,True,False,True,False,9.600000000000025,1,1
1499,35.0,215,False,False,False,False,False,True,False,True,False,9.5,1,1
1357,55.0,12,False,False,False,False,False,True,True,False,False,9.600000000000025,1,1
1509,36.5,52,False,False,False,False,False,True,False,True,False,9.399999999999975,1,1
1306,59.7,172,False,False,False,False,False,True,False,True,False,9.399999999999975,1,1
1668,28.7,180,False,False,False,False,False,True,False,True,False,9.5,1,1
1412,57.5,16,False,False,False,False,False,True,False,True,False,9.800000000000011,1,1
1481,38.5,181,False,False,False,False,False,True,False,True,False,10.399999999999975,1,1
1413,52.0,91,False,False,False,False,False,True,False,True,False,10.300000000000011,1,1
1545,43.5,160,False,False,False,False,False,True,False,True,False,11.399999999999975,1,1
1438,46.7,41,False,False,False,False,False,True,True,False,False,11.5,1,1
2861,4.6,143,True,False,False,True,False,False,False,True,False,10.200000000000044,1,1
1455,41.3,208,True,True,False,False,False,False,False,True,False,10.099999999999966,1,1
1282,60.7,216,True,False,False,False,True,False,False,True,False,9.800000000000011,1,1
1412,52.3,218,True,False,False,False,True,False,False,True,False,9.800000000000011,1,1
1433,62.3,20,True,False,False,True,False,False,False,True,False,9.900000000000034,1,1
2678,10.7,86,True,False,False,True,False,False,False,False,True,10.300000000000011,1,1
1421,60.7,119,True,False,False,True,False,False,False,False,True,10.300000000000011,1,1
1348,58.8,202,True,False,False,False,True,False,False,True,False,10.199999999999989,1,1
1362,56.8,216,True,False,False,False,True,False,False,True,False,10.300000000000011,1,1
1405,56.2,218,True,False,False,False,True,False,False,True,False,10.300000000000011,1,1
1420,63.9,19,True,False,False,True,False,False,False,False,True,10.099999999999966,1,1
1373,56.7,203,True,False,False,False,True,False,False,True,False,10.800000000000011,1,1
2564,12.8,127,True,False,False,True,False,False,False,True,False,10.800000000000011,1,1
1399,61.5,61,True,False,False,True,False,False,False,True,False,11.100000000000025,1,1
2874,4.2,118,True,False,False,True,False,False,False,True,False,11.300000000000011,1,1
1501,49.8,222,True,False,False,False,True,False,False,True,False,12.0,1,1
1336,71.6,31,True,False,False,True,False,False,False,True,False,11.900000000000034,1,1
1289,62.0,199,True,False,False,False,True,False,False,True,False,11.300000000000011,1,1
2833,5.6,213,True,False,False,True,False,False,False,True,False,11.0,1,1
1235,76.2,89,True,False,False,True,False,False,False,False,True,10.5,1,1
2270,14.6,149,True,False,False,True,False,False,False,True,False,10.5,1,1
1372,55.6,215,True,False,False,False,True,False,False,True,False,10.5,1,1
1319,68.3,24,True,False,False,True,False,False,False,False,True,10.899999999999975,1,1
1385,56.4,202,True,False,False,False,True,False,False,True,False,10.800000000000011,1,1
1549,35.8,206,True,True,False,False,False,False,True,False,False,10.900000000000034,1,1
2721,9.3,18,True,False,False,True,False,False,False,True,False,10.600000000000025,1,1
1386,62.3,100,True,False,False,True,False,False,True,False,False,11.099999999999966,1,1
1258,69.0,105,True,False,False,True,False,False,False,False,True,11.100000000000025,1,1
1296,69.1,153,True,False,False,True,False,False,False,True,False,10.899999999999975,1,1
1316,61.2,200,True,False,False,False,True,False,False,True,False,10.800000000000011,1,1
1400,57.1,202,True,False,False,False,True,False,False,True,False,10.900000000000034,1,1
1362,52.5,213,True,False,False,False,True,False,False,True,False,11.100000000000025,1,1
2153,15.3,98,True,False,False,True,False,False,False,True,False,11.100000000000025,1,1
1365,49.1,226,True,False,False,False,True,False,False,True,False,11.399999999999975,1,1
1371,53.8,228,True,False,False,False,True,False,False,True,False,11.399999999999975,1,1
2737,8.8,142,True,False,False,True,False,False,False,True,False,11.300000000000011,1,1
1354,53.3,212,True,False,False,False,True,False,False,True,False,11.100000000000025,1,1
1479,58.5,176,True,False,False,True,False,False,False,False,True,10.699999999999989,1,1
1429,37.7,220,True,True,False,False,False,False,False,True,False,10.5,1,1
1310,61.0,189,True,False,False,False,True,False,False,True,False,10.199999999999989,1,1
1365,52.9,218,True,False,False,False,True,False,False,True,False,10.199999999999989,1,1
1604,36.1,225,True,True,False,False,False,False,True,False,False,9.5,1,1
1511,31.0,209,True,True,False,False,False,False,False,True,False,9.400000000000034,1,1
2886,3.8,57,True,False,False,True,False,False,False,True,False,9.699999999999989,1,1
1313,67.3,67,True,False,False,True,False,False,False,True,False,9.699999999999989,1,1
2567,12.8,125,True,False,False,True,False,False,False,True,False,9.599999999999966,1,1
1327,61.0,186,True,False,False,False,True,False,False,True,False,9.5,1,1
1416,38.2,198,True,True,False,False,False,False,False,False,True,9.600000000000025,1,1
1301,66.3,42,True,False,False,True,False,False,False,True,False,9.699999999999989,1,1
1390,58.8,195,True,False,False,False,True,False,False,True,False,9.899999999999975,1,1
1258,69.4,119,True,False,False,True,False,False,False,True,False,9.599999999999966,1,1
1867,23.4,225,True,True,False,False,False,False,False,False,True,9.599999999999966,1,1
2549,13.0,179,True,False,False,True,False,False,False,True,False,9.199999999999989,1,1
1542,37.5,203,True,True,False,False,False,False,False,False,True,9.099999999999966,1,1
1446,62.9,134,True,False,False,True,False,False,False,True,False,9.300000000000011,1,1
1384,53.6,218,True,False,False,False,True,False,False,True,False,9.300000000000011,1,1
1378,50.4,220,True,False,False,False,True,False,False,True,False,9.300000000000011,1,1
1372,63.6,30,True,False,False,True,False,False,False,False,True,9.300000000000011,1,1
1267,68.2,76,True,False,False,True,False,False,False,True,False,9.400000000000034,1,1
1329,53.6,207,True,False,False,False,True,False,False,True,False,9.699999999999989,1,1
1515,48.9,228,True,False,False,False,True,False,False,True,False,9.800000000000011,1,1
1345,60.7,191,True,False,False,False,True,False,False,True,False,9.900000000000034,1,1
1320,67.5,20,True,False,False,True,False,False,False,True,False,9.699999999999989,1,1
1399,41.9,221,True,True,False,False,False,False,False,False,True,9.600000000000025,1,1
1299,65.1,212,True,False,False,False,True,False,False,True,False,9.5,1,1
1417,51.5,231,True,False,False,False,True,False,False,True,False,8.800000000000011,1,1
1380,47.6,246,True,True,False,False,False,False,True,False,False,8.799999999999955,1,1
1367,63.2,45,True,False,False,True,False,False,False,False,True,8.799999999999955,1,1
1996,19.8,203,True,True,False,False,False,False,False,False,True,8.900000000000034,1,1
1324,72.8,159,True,False,False,True,False,False,True,False,False,9.300000000000011,1,1
1379,54.2,207,True,False,False,False,True,False,False,True,False,9.300000000000011,1,1
2563,12.8,81,True,False,False,True,False,False,True,False,False,9.5,1,1
1342,62.4,113,True,False,True,False,False,False,False,False,True,8.599999999999966,1,1
1269,56.8,195,True,False,False,False,True,False,False,True,False,8.800000000000011,1,1
1285,62.6,183,True,False,False,False,True,False,False,True,False,9.400000000000034,1,1
1355,57.8,195,True,False,False,False,True,False,False,True,False,9.199999999999989,1,1
2760,8.0,15,True,False,False,True,False,False,False,True,False,9.399999999999975,1,1
2639,12.0,21,True,False,False,True,False,False,False,False,True,8.899999999999977,1,1
1378,53.1,212,True,False,False,False,True,False,False,True,False,8.899999999999977,1,1
1567,39.0,214,True,True,False,False,False,False,False,True,False,9.0,1,1
2672,11.8,124,True,False,False,True,False,False,False,True,False,8.800000000000011,1,1
1270,65.3,182,True,False,False,False,True,False,False,True,False,9.199999999999989,1,1
1530,37.3,207,True,True,False,False,False,False,False,True,False,9.100000000000025,1,1
1377,46.8,166,True,False,True,False,False,False,False,True,False,8.599999999999966,1,1
1377,47.3,22,True,False,True,False,False,False,False,True,False,8.5,1,1
1379,49.3,34,True,False,True,False,False,False,False,True,False,8.599999999999966,1,1
1360,44.0,67,True,False,True,False,False,False,False,False,True,8.599999999999966,1,1
1326,59.1,88,True,False,True,False,False,False,False,False,True,8.5,1,1
1366,48.4,130,True,False,True,False,False,False,True,False,False,8.599999999999966,1,1
1629,34.4,228,True,True,False,False,False,False,True,False,False,8.899999999999977,1,1
2709,9.7,2,True,False,False,True,False,False,False,False,True,8.900000000000034,1,1
1442,59.8,169,True,False,False,True,False,False,False,True,False,8.899999999999977,1,1
1227,68.2,187,True,False,False,False,True,False,False,False,True,9.0,1,1
1454,59.2,153,True,False,False,True,False,False,False,True,False,9.099999999999966,1,1
1351,60.3,207,True,False,False,False,True,False,False,False,True,8.899999999999977,1,1
1383,50.3,231,True,False,False,False,True,False,False,True,False,8.800000000000011,1,1
1615,29.0,235,True,True,False,False,False,False,False,True,False,8.800000000000011,1,1
2691,12.1,31,True,False,False,True,False,False,False,True,False,9.100000000000025,1,1
1331,68.6,85,True,False,False,True,False,False,False,True,False,8.700000000000045,1,1
1294,62.4,101,True,False,True,False,False,False,True,False,False,8.599999999999966,1,1
1357,58.0,108,True,False,True,False,False,False,False,True,False,8.399999999999977,1,1
