Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature Difference,power,Total_MF,norm_power,norm_temp_diff,norm_tool_wear,tool_wear_adjusted,norm_tool_wear_adjusted
1364,65.3,208,True,False,True,True,False,True,False,False,9.5,89069.2,3,0.8774209783673507,0.4222222222222243,0.8221343873517787,203,0.8156862745098039
1410,65.7,191,False,False,True,True,False,False,True,False,10.100000000000025,92637.0,2,0.9175024940009168,0.5555555555555614,0.7549407114624506,189,0.7607843137254902
1243,74.5,194,False,False,True,True,False,False,False,True,11.300000000000011,92603.5,2,0.917126147015737,0.8222222222222216,0.766798418972332,191,0.7686274509803922
1268,69.4,189,False,False,True,True,False,False,True,False,10.699999999999989,87999.20000000001,2,0.8654003433183246,0.688888888888885,0.7470355731225297,187,0.7529411764705882
1405,46.4,207,True,False,False,False,True,False,True,False,9.199999999999989,65192.0,2,0.6091788221125761,0.35555555555555596,0.8181818181818182,205,0.8235294117647058
1338,67.6,194,False,False,True,True,False,False,True,False,8.600000000000023,90448.8,2,0.89291973361374,0.22222222222223195,0.766798418972332,192,0.7725490196078432
1333,66.7,205,False,False,True,True,False,False,True,False,9.099999999999966,88911.1,2,0.8756448452820694,0.333333333333329,0.8102766798418972,203,0.8156862745098039
1284,68.0,114,False,True,True,False,False,False,True,False,8.399999999999977,87312.0,2,0.8576801747148751,0.17777777777777798,0.4505928853754941,112,0.4588235294117647
1284,68.2,111,False,True,True,False,False,False,False,True,8.100000000000023,87568.8,2,0.8605651271266415,0.11111111111112229,0.43873517786561267,108,0.44313725490196076
1308,57.6,197,False,True,False,True,False,False,True,False,7.899999999999977,75340.8,2,0.7231928604168353,0.06666666666666833,0.7786561264822134,195,0.7843137254901961
1298,65.5,229,False,True,False,True,False,False,True,False,7.800000000000011,85019.0,2,0.8319200661471955,0.04444444444445397,0.9051383399209486,227,0.9098039215686274
1365,66.8,80,False,True,True,False,False,False,True,False,7.799999999999954,91182.0,2,0.9011566771819138,0.04444444444444114,0.31620553359683795,78,0.3254901960784314
1263,67.8,197,False,True,False,True,False,False,True,False,7.800000000000011,85631.4,2,0.8387999137210493,0.04444444444445397,0.7786561264822134,195,0.7843137254901961
1238,54.6,226,False,True,False,True,False,False,True,False,8.199999999999989,67594.8,2,0.6361724500525763,0.13333333333333666,0.8932806324110671,224,0.8980392156862745
1324,54.2,228,False,True,False,True,False,False,True,False,8.199999999999989,71760.8,2,0.6829742870752336,0.13333333333333666,0.9011857707509882,226,0.9058823529411765
1306,61.0,215,False,True,False,True,False,False,True,False,8.400000000000034,79666.0,2,0.7717831881869737,0.1777777777777906,0.849802371541502,213,0.8549019607843137
1262,70.5,234,False,False,True,True,False,False,False,True,9.5,88971.0,2,0.8763177761600475,0.4222222222222243,0.924901185770751,231,0.9254901960784314
