UDI,Product ID,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,diff,Type_H,Type_L,Type_M
5910,H35323,1364,65.3,208,True,True,False,True,True,False,2,True,False,False
70,L47249,1410,65.7,191,True,False,False,True,True,False,1,False,True,False
1325,M16184,1243,74.5,194,True,False,False,True,True,False,1,False,False,True
1497,L48676,1268,69.4,189,True,False,False,True,True,False,1,False,True,False
3612,L50791,1405,46.4,207,True,True,False,False,False,True,1,False,True,False
3855,L51034,1338,67.6,194,True,False,False,True,True,False,1,False,True,False
3944,L51123,1333,66.7,205,True,False,False,True,True,False,1,False,True,False
4255,L51434,1284,68.0,114,True,False,True,True,False,False,1,False,True,False
4343,M19202,1284,68.2,111,True,False,True,True,False,False,1,False,False,True
4371,L51550,1308,57.6,197,True,False,True,False,True,False,1,False,True,False
4384,L51563,1298,65.5,229,True,False,True,False,True,False,1,False,True,False
4418,L51597,1365,66.8,80,True,False,True,True,False,False,1,False,True,False
4463,L51642,1263,67.8,197,True,False,True,False,True,False,1,False,True,False
4643,L51822,1238,54.6,226,True,False,True,False,True,False,1,False,True,False
4644,L51823,1324,54.2,228,True,False,True,False,True,False,1,False,True,False
4730,L51909,1306,61.0,215,True,False,True,False,True,False,1,False,True,False
5395,M20254,1262,70.5,234,True,False,False,True,True,False,1,False,False,True
5402,M20261,1454,54.8,253,True,True,False,False,True,False,1,False,False,True
6249,L53428,1405,61.2,189,True,False,False,True,True,False,1,False,True,False
7084,L54263,1416,61.8,209,True,False,False,True,True,False,1,False,True,False
8847,M23706,1325,62.4,204,True,True,False,False,True,False,1,False,False,True
8927,M23786,1459,59.6,207,True,False,False,True,True,False,1,False,False,True
9085,L56264,1326,75.4,172,True,False,False,True,True,False,1,False,True,False
9975,L57154,1361,68.2,172,True,False,False,True,True,False,1,False,True,False
1222,M16081,1399,46.4,132,False,False,False,False,False,True,1,False,False,True
1303,L48482,1505,45.7,144,False,False,False,False,False,True,1,False,True,False
1749,H31162,1626,31.1,166,False,False,False,False,False,True,1,True,False,False
2073,L49252,1570,35.5,189,False,False,False,False,False,True,1,False,True,False
2560,L49739,1447,50.4,140,False,False,False,False,False,True,1,False,True,False
3066,M17925,1687,27.7,95,False,False,False,False,False,True,1,False,False,True
3453,H32866,1602,32.3,2,False,False,False,False,False,True,1,True,False,False
5472,L52651,1346,61.2,170,False,False,False,False,False,True,1,False,True,False
5490,L52669,1499,35.0,215,False,False,False,False,False,True,1,False,True,False
5496,H34909,1357,55.0,12,False,False,False,False,False,True,1,True,False,False
5510,L52689,1509,36.5,52,False,False,False,False,False,True,1,False,True,False
5554,L52733,1306,59.7,172,False,False,False,False,False,True,1,False,True,False
5640,L52819,1668,28.7,180,False,False,False,False,False,True,1,False,True,False
6092,L53271,1412,57.5,16,False,False,False,False,False,True,1,False,True,False
6914,L54093,1481,38.5,181,False,False,False,False,False,True,1,False,True,False
6961,L54140,1413,52.0,91,False,False,False,False,False,True,1,False,True,False
7489,L54668,1545,43.5,160,False,False,False,False,False,True,1,False,True,False
7869,H37282,1438,46.7,41,False,False,False,False,False,True,1,True,False,False
51,L47230,2861,4.6,143,True,False,False,True,False,False,0,False,True,False
78,L47257,1455,41.3,208,True,True,False,False,False,False,0,False,True,False
161,L47340,1282,60.7,216,True,False,False,False,True,False,0,False,True,False
162,L47341,1412,52.3,218,True,False,False,False,True,False,0,False,True,False
169,L47348,1433,62.3,20,True,False,False,True,False,False,0,False,True,False
195,M15054,2678,10.7,86,True,False,False,True,False,False,0,False,False,True
208,M15067,1421,60.7,119,True,False,False,True,False,False,0,False,False,True
243,L47422,1348,58.8,202,True,False,False,False,True,False,0,False,True,False
249,L47428,1362,56.8,216,True,False,False,False,True,False,0,False,True,False
250,L47429,1405,56.2,218,True,False,False,False,True,False,0,False,True,False
260,M15119,1420,63.9,19,True,False,False,True,False,False,0,False,False,True
328,L47507,1373,56.7,203,True,False,False,False,True,False,0,False,True,False
381,L47560,2564,12.8,127,True,False,False,True,False,False,0,False,True,False
443,L47622,1399,61.5,61,True,False,False,True,False,False,0,False,True,False
464,L47643,2874,4.2,118,True,False,False,True,False,False,0,False,True,False
587,L47766,1501,49.8,222,True,False,False,False,True,False,0,False,True,False
604,L47783,1336,71.6,31,True,False,False,True,False,False,0,False,True,False
747,L47926,1289,62.0,199,True,False,False,False,True,False,0,False,True,False
848,L48027,2833,5.6,213,True,False,False,True,False,False,0,False,True,False
881,M15740,1235,76.2,89,True,False,False,True,False,False,0,False,False,True
904,L48083,2270,14.6,149,True,False,False,True,False,False,0,False,True,False
927,L48106,1372,55.6,215,True,False,False,False,True,False,0,False,True,False
1017,M15876,1319,68.3,24,True,False,False,True,False,False,0,False,False,True
1086,L48265,1385,56.4,202,True,False,False,False,True,False,0,False,True,False
1088,H30501,1549,35.8,206,True,True,False,False,False,False,0,True,False,False
1096,L48275,2721,9.3,18,True,False,False,True,False,False,0,False,True,False
1124,H30537,1386,62.3,100,True,False,False,True,False,False,0,True,False,False
1125,M15984,1258,69.0,105,True,False,False,True,False,False,0,False,False,True
1145,L48324,1296,69.1,153,True,False,False,True,False,False,0,False,True,False
1162,L48341,1316,61.2,200,True,False,False,False,True,False,0,False,True,False
1163,L48342,1400,57.1,202,True,False,False,False,True,False,0,False,True,False
1168,L48347,1362,52.5,213,True,False,False,False,True,False,0,False,True,False
1285,L48464,2153,15.3,98,True,False,False,True,False,False,0,False,True,False
1335,L48514,1365,49.1,226,True,False,False,False,True,False,0,False,True,False
1336,L48515,1371,53.8,228,True,False,False,False,True,False,0,False,True,False
1392,L48571,2737,8.8,142,True,False,False,True,False,False,0,False,True,False
1420,L48599,1354,53.3,212,True,False,False,False,True,False,0,False,True,False
1493,M16352,1479,58.5,176,True,False,False,True,False,False,0,False,False,True
1510,L48689,1429,37.7,220,True,True,False,False,False,False,0,False,True,False
1584,L48763,1310,61.0,189,True,False,False,False,True,False,0,False,True,False
1596,L48775,1365,52.9,218,True,False,False,False,True,False,0,False,True,False
1683,H31096,1604,36.1,225,True,True,False,False,False,False,0,True,False,False
1764,L48943,1511,31.0,209,True,True,False,False,False,False,0,False,True,False
1785,L48964,2886,3.8,57,True,False,False,True,False,False,0,False,True,False
1790,L48969,1313,67.3,67,True,False,False,True,False,False,0,False,True,False
1809,L48988,2567,12.8,125,True,False,False,True,False,False,0,False,True,False
1834,L49013,1327,61.0,186,True,False,False,False,True,False,0,False,True,False
1997,M16856,1416,38.2,198,True,True,False,False,False,False,0,False,False,True
2016,L49195,1301,66.3,42,True,False,False,True,False,False,0,False,True,False
2076,L49255,1390,58.8,195,True,False,False,False,True,False,0,False,True,False
2126,L49305,1258,69.4,119,True,False,False,True,False,False,0,False,True,False
2167,M17026,1867,23.4,225,True,True,False,False,False,False,0,False,False,True
2234,L49413,2549,13.0,179,True,False,False,True,False,False,0,False,True,False
2245,M17104,1542,37.5,203,True,True,False,False,False,False,0,False,False,True
2300,L49479,1446,62.9,134,True,False,False,True,False,False,0,False,True,False
2332,L49511,1384,53.6,218,True,False,False,False,True,False,0,False,True,False
2333,L49512,1378,50.4,220,True,False,False,False,True,False,0,False,True,False
2427,M17286,1372,63.6,30,True,False,False,True,False,False,0,False,False,True
2445,L49624,1267,68.2,76,True,False,False,True,False,False,0,False,True,False
2495,L49674,1329,53.6,207,True,False,False,False,True,False,0,False,True,False
2503,L49682,1515,48.9,228,True,False,False,False,True,False,0,False,True,False
2582,L49761,1345,60.7,191,True,False,False,False,True,False,0,False,True,False
2599,L49778,1320,67.5,20,True,False,False,True,False,False,0,False,True,False
2672,M17531,1399,41.9,221,True,True,False,False,False,False,0,False,False,True
2762,L49941,1299,65.1,212,True,False,False,False,True,False,0,False,True,False
2859,L50038,1417,51.5,231,True,False,False,False,True,False,0,False,True,False
2865,H32278,1380,47.6,246,True,True,False,False,False,False,0,True,False,False
2880,M17739,1367,63.2,45,True,False,False,True,False,False,0,False,False,True
2942,M17801,1996,19.8,203,True,True,False,False,False,False,0,False,False,True
3001,H32414,1324,72.8,159,True,False,False,True,False,False,0,True,False,False
3020,L50199,1379,54.2,207,True,False,False,False,True,False,0,False,True,False
3141,H32554,2563,12.8,81,True,False,False,True,False,False,0,True,False,False
3237,M18096,1342,62.4,113,True,False,True,False,False,False,0,False,False,True
3267,L50446,1269,56.8,195,True,False,False,False,True,False,0,False,True,False
3351,L50530,1285,62.6,183,True,False,False,False,True,False,0,False,True,False
3357,L50536,1355,57.8,195,True,False,False,False,True,False,0,False,True,False
3370,L50549,2760,8.0,15,True,False,False,True,False,False,0,False,True,False
3458,M18317,2639,12.0,21,True,False,False,True,False,False,0,False,False,True
3529,L50708,1378,53.1,212,True,False,False,False,True,False,0,False,True,False
3530,L50709,1567,39.0,214,True,True,False,False,False,False,0,False,True,False
3580,L50759,2672,11.8,124,True,False,False,True,False,False,0,False,True,False
3685,L50864,1270,65.3,182,True,False,False,False,True,False,0,False,True,False
3696,L50875,1530,37.3,207,True,True,False,False,False,False,0,False,True,False
3761,L50940,1377,46.8,166,True,False,True,False,False,False,0,False,True,False
3788,L50967,1377,47.3,22,True,False,True,False,False,False,0,False,True,False
3794,L50973,1379,49.3,34,True,False,True,False,False,False,0,False,True,False
3807,M18666,1360,44.0,67,True,False,True,False,False,False,0,False,False,True
3815,M18674,1326,59.1,88,True,False,True,False,False,False,0,False,False,True
3830,H33243,1366,48.4,130,True,False,True,False,False,False,0,True,False,False
3866,H33279,1629,34.4,228,True,True,False,False,False,False,0,True,False,False
3868,M18727,2709,9.7,2,True,False,False,True,False,False,0,False,False,True
3929,L51108,1442,59.8,169,True,False,False,True,False,False,0,False,True,False
3936,M18795,1227,68.2,187,True,False,False,False,True,False,0,False,False,True
