Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature Difference,Horse Power,Machine Failure
208,True,True,False,True,True,False,True,False,False,9.5,89069.2,1
191,True,False,False,True,True,False,False,True,False,10.100000000000025,92637.0,1
194,True,False,False,True,True,False,False,False,True,11.300000000000011,92603.5,1
189,True,False,False,True,True,False,False,True,False,10.699999999999989,87999.20000000001,1
207,True,True,False,False,False,True,False,True,False,9.199999999999989,65192.0,1
194,True,False,False,True,True,False,False,True,False,8.600000000000023,90448.8,1
205,True,False,False,True,True,False,False,True,False,9.099999999999966,88911.1,1
114,True,False,True,True,False,False,False,True,False,8.399999999999977,87312.0,1
111,True,False,True,True,False,False,False,False,True,8.100000000000023,87568.8,1
197,True,False,True,False,True,False,False,True,False,7.899999999999977,75340.8,1
229,True,False,True,False,True,False,False,True,False,7.800000000000011,85019.0,1
80,True,False,True,True,False,False,False,True,False,7.799999999999954,91182.0,1
197,True,False,True,False,True,False,False,True,False,7.800000000000011,85631.4,1
226,True,False,True,False,True,False,False,True,False,8.199999999999989,67594.8,1
228,True,False,True,False,True,False,False,True,False,8.199999999999989,71760.8,1
215,True,False,True,False,True,False,False,True,False,8.400000000000034,79666.0,1
234,True,False,False,True,True,False,False,False,True,9.5,88971.0,1
253,True,True,False,False,True,False,False,False,True,9.699999999999989,79679.2,1
189,True,False,False,True,True,False,False,True,False,9.300000000000011,85986.0,1
209,True,False,False,True,True,False,False,True,False,9.699999999999989,87508.8,1
204,True,True,False,False,True,False,False,False,True,11.400000000000034,82680.0,1
207,True,False,False,True,True,False,False,False,True,11.0,86956.40000000001,1
172,True,False,False,True,True,False,False,True,False,10.699999999999989,99980.4,1
172,True,False,False,True,True,False,False,True,False,9.599999999999966,92820.2,1
132,False,False,False,False,False,True,False,False,True,11.300000000000011,64913.6,1
144,False,False,False,False,False,True,False,True,False,11.199999999999989,68778.5,1
166,False,False,False,False,False,True,True,False,False,9.300000000000011,50568.600000000006,1
189,False,False,False,False,False,True,False,True,False,9.899999999999975,55735.0,1
140,False,False,False,False,False,True,False,True,False,9.699999999999989,72928.8,1
95,False,False,False,False,False,True,False,False,True,9.099999999999966,46729.9,1
2,False,False,False,False,False,True,True,False,False,8.899999999999977,51744.6,1
170,False,False,False,False,False,True,False,True,False,9.600000000000025,82375.2,1
215,False,False,False,False,False,True,False,True,False,9.5,52465.0,1
12,False,False,False,False,False,True,True,False,False,9.600000000000025,74635.0,1
