UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,diff,Type_H,Type_L,Type_M
5910,H35323,300.7,310.2,1364,65.3,208,True,True,False,True,True,False,2,True,False,False
70,L47249,298.9,309.0,1410,65.7,191,True,False,False,True,True,False,1,False,True,False
1325,M16184,298.8,310.1,1243,74.5,194,True,False,False,True,True,False,1,False,False,True
1497,L48676,298.0,308.7,1268,69.4,189,True,False,False,True,True,False,1,False,True,False
3612,L50791,301.7,310.9,1405,46.4,207,True,True,False,False,False,True,1,False,True,False
3855,L51034,302.4,311.0,1338,67.6,194,True,False,False,True,True,False,1,False,True,False
3944,L51123,302.3,311.4,1333,66.7,205,True,False,False,True,True,False,1,False,True,False
4255,L51434,302.6,311.0,1284,68.0,114,True,False,True,True,False,False,1,False,True,False
4343,M19202,301.7,309.8,1284,68.2,111,True,False,True,True,False,False,1,False,False,True
4371,L51550,302.0,309.9,1308,57.6,197,True,False,True,False,True,False,1,False,True,False
4384,L51563,301.7,309.5,1298,65.5,229,True,False,True,False,True,False,1,False,True,False
4418,L51597,302.6,310.4,1365,66.8,80,True,False,True,True,False,False,1,False,True,False
4463,L51642,302.7,310.5,1263,67.8,197,True,False,True,False,True,False,1,False,True,False
4643,L51822,303.2,311.4,1238,54.6,226,True,False,True,False,True,False,1,False,True,False
4644,L51823,303.2,311.4,1324,54.2,228,True,False,True,False,True,False,1,False,True,False
4730,L51909,303.4,311.8,1306,61.0,215,True,False,True,False,True,False,1,False,True,False
5395,M20254,302.8,312.3,1262,70.5,234,True,False,False,True,True,False,1,False,False,True
5402,M20261,302.6,312.3,1454,54.8,253,True,True,False,False,True,False,1,False,False,True
6249,L53428,300.8,310.1,1405,61.2,189,True,False,False,True,True,False,1,False,True,False
7084,L54263,300.7,310.4,1416,61.8,209,True,False,False,True,True,False,1,False,True,False
8847,M23706,297.4,308.8,1325,62.4,204,True,True,False,False,True,False,1,False,False,True
8927,M23786,297.3,308.3,1459,59.6,207,True,False,False,True,True,False,1,False,False,True
9085,L56264,297.2,307.9,1326,75.4,172,True,False,False,True,True,False,1,False,True,False
9975,L57154,298.6,308.2,1361,68.2,172,True,False,False,True,True,False,1,False,True,False
1222,M16081,297.0,308.3,1399,46.4,132,False,False,False,False,False,True,1,False,False,True
1303,L48482,298.6,309.8,1505,45.7,144,False,False,False,False,False,True,1,False,True,False
1749,H31162,298.4,307.7,1626,31.1,166,False,False,False,False,False,True,1,True,False,False
2073,L49252,299.6,309.5,1570,35.5,189,False,False,False,False,False,True,1,False,True,False
2560,L49739,299.3,309.0,1447,50.4,140,False,False,False,False,False,True,1,False,True,False
