Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature Difference,Machine Failure,Horse Power,Machine Failure(2)
1364,65.3,208,True,True,False,True,True,False,True,False,False,9.5,1,89069.2,1
1410,65.7,191,True,False,False,True,True,False,False,True,False,10.100000000000025,1,92637.0,1
1243,74.5,194,True,False,False,True,True,False,False,False,True,11.300000000000011,1,92603.5,1
1268,69.4,189,True,False,False,True,True,False,False,True,False,10.699999999999989,1,87999.20000000001,1
1405,46.4,207,True,True,False,False,False,True,False,True,False,9.199999999999989,1,65192.0,1
1338,67.6,194,True,False,False,True,True,False,False,True,False,8.600000000000023,1,90448.8,1
1333,66.7,205,True,False,False,True,True,False,False,True,False,9.099999999999966,1,88911.1,1
1284,68.0,114,True,False,True,True,False,False,False,True,False,8.399999999999977,1,87312.0,1
1284,68.2,111,True,False,True,True,False,False,False,False,True,8.100000000000023,1,87568.8,1
1308,57.6,197,True,False,True,False,True,False,False,True,False,7.899999999999977,1,75340.8,1
1298,65.5,229,True,False,True,False,True,False,False,True,False,7.800000000000011,1,85019.0,1
1365,66.8,80,True,False,True,True,False,False,False,True,False,7.799999999999954,1,91182.0,1
1263,67.8,197,True,False,True,False,True,False,False,True,False,7.800000000000011,1,85631.4,1
1238,54.6,226,True,False,True,False,True,False,False,True,False,8.199999999999989,1,67594.8,1
1324,54.2,228,True,False,True,False,True,False,False,True,False,8.199999999999989,1,71760.8,1
1306,61.0,215,True,False,True,False,True,False,False,True,False,8.400000000000034,1,79666.0,1
1262,70.5,234,True,False,False,True,True,False,False,False,True,9.5,1,88971.0,1
1454,54.8,253,True,True,False,False,True,False,False,False,True,9.699999999999989,1,79679.2,1
1405,61.2,189,True,False,False,True,True,False,False,True,False,9.300000000000011,1,85986.0,1
1416,61.8,209,True,False,False,True,True,False,False,True,False,9.699999999999989,1,87508.8,1
1325,62.4,204,True,True,False,False,True,False,False,False,True,11.400000000000034,1,82680.0,1
1459,59.6,207,True,False,False,True,True,False,False,False,True,11.0,1,86956.40000000001,1
1326,75.4,172,True,False,False,True,True,False,False,True,False,10.699999999999989,1,99980.4,1
1361,68.2,172,True,False,False,True,True,False,False,True,False,9.599999999999966,1,92820.2,1
1399,46.4,132,False,False,False,False,False,True,False,False,True,11.300000000000011,1,64913.6,1
1505,45.7,144,False,False,False,False,False,True,False,True,False,11.199999999999989,1,68778.5,1
1626,31.1,166,False,False,False,False,False,True,True,False,False,9.300000000000011,1,50568.600000000006,1
1570,35.5,189,False,False,False,False,False,True,False,True,False,9.899999999999975,1,55735.0,1
1447,50.4,140,False,False,False,False,False,True,False,True,False,9.699999999999989,1,72928.8,1
1687,27.7,95,False,False,False,False,False,True,False,False,True,9.099999999999966,1,46729.9,1
1602,32.3,2,False,False,False,False,False,True,True,False,False,8.899999999999977,1,51744.6,1
1346,61.2,170,False,False,False,False,False,True,False,True,False,9.600000000000025,1,82375.2,1
1499,35.0,215,False,False,False,False,False,True,False,True,False,9.5,1,52465.0,1
1357,55.0,12,False,False,False,False,False,True,True,False,False,9.600000000000025,1,74635.0,1
1509,36.5,52,False,False,False,False,False,True,False,True,False,9.399999999999975,1,55078.5,1
1306,59.7,172,False,False,False,False,False,True,False,True,False,9.399999999999975,1,77968.2,1
1668,28.7,180,False,False,False,False,False,True,False,True,False,9.5,1,47871.6,1
1412,57.5,16,False,False,False,False,False,True,False,True,False,9.800000000000011,1,81190.0,1
1481,38.5,181,False,False,False,False,False,True,False,True,False,10.399999999999975,1,57018.5,1
1413,52.0,91,False,False,False,False,False,True,False,True,False,10.300000000000011,1,73476.0,1
1545,43.5,160,False,False,False,False,False,True,False,True,False,11.399999999999975,1,67207.5,1
1438,46.7,41,False,False,False,False,False,True,True,False,False,11.5,1,67154.6,1
2861,4.6,143,True,False,False,True,False,False,False,True,False,10.200000000000044,1,13160.6,1
1455,41.3,208,True,True,False,False,False,False,False,True,False,10.099999999999966,1,60091.49999999999,1
1282,60.7,216,True,False,False,False,True,False,False,True,False,9.800000000000011,1,77817.40000000001,1
1412,52.3,218,True,False,False,False,True,False,False,True,False,9.800000000000011,1,73847.59999999999,1
1433,62.3,20,True,False,False,True,False,False,False,True,False,9.900000000000034,1,89275.9,1
2678,10.7,86,True,False,False,True,False,False,False,False,True,10.300000000000011,1,28654.6,1
1421,60.7,119,True,False,False,True,False,False,False,False,True,10.300000000000011,1,86254.7,1
1348,58.8,202,True,False,False,False,True,False,False,True,False,10.199999999999989,1,79262.4,1
1362,56.8,216,True,False,False,False,True,False,False,True,False,10.300000000000011,1,77361.59999999999,1
1405,56.2,218,True,False,False,False,True,False,False,True,False,10.300000000000011,1,78961.0,1
1420,63.9,19,True,False,False,True,False,False,False,False,True,10.099999999999966,1,90738.0,1
1373,56.7,203,True,False,False,False,True,False,False,True,False,10.800000000000011,1,77849.1,1
2564,12.8,127,True,False,False,True,False,False,False,True,False,10.800000000000011,1,32819.200000000004,1
1399,61.5,61,True,False,False,True,False,False,False,True,False,11.100000000000025,1,86038.5,1
2874,4.2,118,True,False,False,True,False,False,False,True,False,11.300000000000011,1,12070.8,1
1501,49.8,222,True,False,False,False,True,False,False,True,False,12.0,1,74749.8,1
1336,71.6,31,True,False,False,True,False,False,False,True,False,11.900000000000034,1,95657.6,1
1289,62.0,199,True,False,False,False,True,False,False,True,False,11.300000000000011,1,79918.0,1
2833,5.6,213,True,False,False,True,False,False,False,True,False,11.0,1,15864.8,1
1235,76.2,89,True,False,False,True,False,False,False,False,True,10.5,1,94107.0,1
2270,14.6,149,True,False,False,True,False,False,False,True,False,10.5,1,33142.0,1
1372,55.6,215,True,False,False,False,True,False,False,True,False,10.5,1,76283.2,1
1319,68.3,24,True,False,False,True,False,False,False,False,True,10.899999999999975,1,90087.7,1
1385,56.4,202,True,False,False,False,True,False,False,True,False,10.800000000000011,1,78114.0,1
1549,35.8,206,True,True,False,False,False,False,True,False,False,10.900000000000034,1,55454.2,1
2721,9.3,18,True,False,False,True,False,False,False,True,False,10.600000000000025,1,25305.300000000003,1
1386,62.3,100,True,False,False,True,False,False,True,False,False,11.099999999999966,1,86347.8,1
1258,69.0,105,True,False,False,True,False,False,False,False,True,11.100000000000025,1,86802.0,1
1296,69.1,153,True,False,False,True,False,False,False,True,False,10.899999999999975,1,89553.59999999999,1
1316,61.2,200,True,False,False,False,True,False,False,True,False,10.800000000000011,1,80539.2,1
1400,57.1,202,True,False,False,False,True,False,False,True,False,10.900000000000034,1,79940.0,1
1362,52.5,213,True,False,False,False,True,False,False,True,False,11.100000000000025,1,71505.0,1
2153,15.3,98,True,False,False,True,False,False,False,True,False,11.100000000000025,1,32940.9,1
1365,49.1,226,True,False,False,False,True,False,False,True,False,11.399999999999975,1,67021.5,1
1371,53.8,228,True,False,False,False,True,False,False,True,False,11.399999999999975,1,73759.8,1
2737,8.8,142,True,False,False,True,False,False,False,True,False,11.300000000000011,1,24085.6,1
1354,53.3,212,True,False,False,False,True,False,False,True,False,11.100000000000025,1,72168.2,1
1479,58.5,176,True,False,False,True,False,False,False,False,True,10.699999999999989,1,86521.5,1
1429,37.7,220,True,True,False,False,False,False,False,True,False,10.5,1,53873.3,1
1310,61.0,189,True,False,False,False,True,False,False,True,False,10.199999999999989,1,79910.0,1
1365,52.9,218,True,False,False,False,True,False,False,True,False,10.199999999999989,1,72208.5,1
1604,36.1,225,True,True,False,False,False,False,True,False,False,9.5,1,57904.4,1
1511,31.0,209,True,True,False,False,False,False,False,True,False,9.400000000000034,1,46841.0,1
2886,3.8,57,True,False,False,True,False,False,False,True,False,9.699999999999989,1,10966.8,1
1313,67.3,67,True,False,False,True,False,False,False,True,False,9.699999999999989,1,88364.9,1
2567,12.8,125,True,False,False,True,False,False,False,True,False,9.599999999999966,1,32857.6,1
1327,61.0,186,True,False,False,False,True,False,False,True,False,9.5,1,80947.0,1
1416,38.2,198,True,True,False,False,False,False,False,False,True,9.600000000000025,1,54091.2,1
1301,66.3,42,True,False,False,True,False,False,False,True,False,9.699999999999989,1,86256.3,1
1390,58.8,195,True,False,False,False,True,False,False,True,False,9.899999999999975,1,81732.0,1
1258,69.4,119,True,False,False,True,False,False,False,True,False,9.599999999999966,1,87305.20000000001,1
1867,23.4,225,True,True,False,False,False,False,False,False,True,9.599999999999966,1,43687.8,1
2549,13.0,179,True,False,False,True,False,False,False,True,False,9.199999999999989,1,33137.0,1
1542,37.5,203,True,True,False,False,False,False,False,False,True,9.099999999999966,1,57825.0,1
1446,62.9,134,True,False,False,True,False,False,False,True,False,9.300000000000011,1,90953.4,1
1384,53.6,218,True,False,False,False,True,False,False,True,False,9.300000000000011,1,74182.40000000001,1
1378,50.4,220,True,False,False,False,True,False,False,True,False,9.300000000000011,1,69451.2,1
1372,63.6,30,True,False,False,True,False,False,False,False,True,9.300000000000011,1,87259.2,1
1267,68.2,76,True,False,False,True,False,False,False,True,False,9.400000000000034,1,86409.40000000001,1
1329,53.6,207,True,False,False,False,True,False,False,True,False,9.699999999999989,1,71234.40000000001,1
1515,48.9,228,True,False,False,False,True,False,False,True,False,9.800000000000011,1,74083.5,1
1345,60.7,191,True,False,False,False,True,False,False,True,False,9.900000000000034,1,81641.5,1
1320,67.5,20,True,False,False,True,False,False,False,True,False,9.699999999999989,1,89100.0,1
1399,41.9,221,True,True,False,False,False,False,False,False,True,9.600000000000025,1,58618.1,1
1299,65.1,212,True,False,False,False,True,False,False,True,False,9.5,1,84564.9,1
1417,51.5,231,True,False,False,False,True,False,False,True,False,8.800000000000011,1,72975.5,1
1380,47.6,246,True,True,False,False,False,False,True,False,False,8.799999999999955,1,65688.0,1
1367,63.2,45,True,False,False,True,False,False,False,False,True,8.799999999999955,1,86394.40000000001,1
1996,19.8,203,True,True,False,False,False,False,False,False,True,8.900000000000034,1,39520.8,1
1324,72.8,159,True,False,False,True,False,False,True,False,False,9.300000000000011,1,96387.2,1
1379,54.2,207,True,False,False,False,True,False,False,True,False,9.300000000000011,1,74741.8,1
2563,12.8,81,True,False,False,True,False,False,True,False,False,9.5,1,32806.4,1
1342,62.4,113,True,False,True,False,False,False,False,False,True,8.599999999999966,1,83740.8,1
1269,56.8,195,True,False,False,False,True,False,False,True,False,8.800000000000011,1,72079.2,1
1285,62.6,183,True,False,False,False,True,False,False,True,False,9.400000000000034,1,80441.0,1
1355,57.8,195,True,False,False,False,True,False,False,True,False,9.199999999999989,1,78319.0,1
2760,8.0,15,True,False,False,True,False,False,False,True,False,9.399999999999975,1,22080.0,1
2639,12.0,21,True,False,False,True,False,False,False,False,True,8.899999999999977,1,31668.0,1
1378,53.1,212,True,False,False,False,True,False,False,True,False,8.899999999999977,1,73171.8,1
1567,39.0,214,True,True,False,False,False,False,False,True,False,9.0,1,61113.0,1
